name,x_fit,y_fit_dem,y_fit_rep
income,0.0,13.788570363595698,86.2114296364043
income,501.00400801603206,13.788811449510838,86.21118855048915
income,1002.0080160320641,13.788955794001373,86.21104420599862
income,1503.0120240480962,13.789003397067336,86.21099660293267
income,2004.0160320641282,13.788954258708747,86.21104574129126
income,2505.0200400801605,13.788808378925637,86.21119162107436
income,3006.0240480961925,13.788565757718038,86.21143424228197
income,3507.0280561122245,13.788226395085973,86.21177360491401
income,4008.0320641282565,13.787790291029472,86.21220970897052
income,4509.0360721442885,13.787257445548558,86.21274255445144
income,5010.040080160321,13.786627858643264,86.21337214135674
income,5511.0440881763525,13.78590153031361,86.21409846968639
income,6012.048096192385,13.785078460559626,86.21492153944037
income,6513.0521042084165,13.784158649381343,86.21584135061866
income,7014.056112224449,13.783142096778779,86.21685790322124
income,7515.0601202404805,13.782028802751956,86.21797119724805
income,8016.064128256513,13.780818767300913,86.2191812326991
income,8517.068136272545,13.779511990425657,86.22048800957434
income,9018.072144288577,13.77810847212623,86.22189152787378
income,9519.07615230461,13.776608212402646,86.22339178759735
income,10020.080160320642,13.775011211254936,86.22498878874507
income,10521.084168336673,13.773317468683116,86.2266825313169
income,11022.088176352705,13.771526984687213,86.22847301531277
income,11523.092184368737,13.769639759267255,86.23036024073275
income,12024.09619238477,13.767655792423259,86.23234420757674
income,12525.100200400802,13.765575084155248,86.23442491584474
income,13026.104208416833,13.763397634463251,86.23660236553675
income,13527.108216432865,13.761123443347284,86.23887655665271
income,14028.112224448898,13.758752510807367,86.24124748919263
income,14529.11623246493,13.75628483684353,86.24371516315647
income,15030.120240480961,13.753720421455792,86.24627957854422
income,15531.124248496993,13.75105926464417,86.24894073535583
income,16032.128256513026,13.748301366408686,86.25169863359132
income,16533.132264529057,13.74544672674936,86.25455327325064
income,17034.13627254509,13.742495345666219,86.25750465433379
income,17535.14028056112,13.73944722315928,86.26055277684073
income,18036.144288577154,13.736302359228558,86.26369764077144
income,18537.148296593186,13.733060753874076,86.26693924612593
income,19038.15230460922,13.729722407095855,86.27027759290414
income,19539.15631262525,13.726287318893911,86.27371268110609
income,20040.160320641284,13.722755489268264,86.27724451073173
income,20541.164328657316,13.719126918218938,86.28087308178107
income,21042.168336673345,13.715401605745944,86.28459839425405
income,21543.172344689377,13.7115795518493,86.28842044815069
income,22044.17635270541,13.707660756529034,86.29233924347098
income,22545.180360721442,13.703645219785146,86.29635478021486
income,23046.184368737475,13.69953294161767,86.30046705838232
income,23547.188376753507,13.695323922026612,86.30467607797338
income,24048.19238476954,13.691018161011998,86.308981838988
income,24549.196392785572,13.686615658573837,86.31338434142617
income,25050.200400801605,13.682116414712144,86.31788358528784
income,25551.204408817634,13.677520429426943,86.32247957057307
income,26052.208416833666,13.672827702718243,86.32717229728175
income,26553.2124248497,13.668038234586064,86.33196176541394
income,27054.21643286573,13.663152025030417,86.33684797496957
income,27555.220440881763,13.658169074051319,86.34183092594868
income,28056.224448897796,13.653089381648783,86.34691061835123
income,28557.22845691383,13.647912947822826,86.35208705217717
income,29058.23246492986,13.642639772573462,86.35736022742653
income,29559.236472945893,13.637269855900701,86.3627301440993
income,30060.240480961922,13.631803197804562,86.36819680219544
income,30561.244488977954,13.626239798285056,86.37376020171494
income,31062.248496993987,13.62057965734219,86.37942034265781
income,31563.25250501002,13.614822774975984,86.38517722502401
income,32064.256513026052,13.60896915118645,86.39103084881354
income,32565.260521042084,13.6030187859736,86.3969812140264
income,33066.26452905811,13.596971679337447,86.40302832066256
income,33567.268537074146,13.590827831277997,86.40917216872201
income,34068.27254509018,13.584587241795267,86.41541275820474
income,34569.27655310621,13.578249910889262,86.42175008911073
income,35070.28056112224,13.571815838560003,86.42818416143999
income,35571.284569138275,13.565285024807489,86.43471497519252
income,36072.28857715431,13.558657469631738,86.44134253036826
income,36573.29258517034,13.55193317303276,86.44806682696723
income,37074.29659318637,13.545112135010564,86.45488786498943
income,37575.300601202405,13.538194355565155,86.46180564443485
income,38076.30460921844,13.53117983469655,86.46882016530346
income,38577.30861723447,13.524068572404751,86.47593142759526
income,39078.3126252505,13.516860568689774,86.48313943131022
income,39579.316633266535,13.509555823551622,86.49044417644838
income,40080.32064128257,13.502154336990301,86.4978456630097
income,40581.3246492986,13.494656109005826,86.50534389099417
income,41082.32865731463,13.4870611395982,86.5129388604018
income,41583.33266533066,13.479369428767432,86.52063057123257
income,42084.33667334669,13.471580976513527,86.52841902348646
income,42585.34068136272,13.4636957828365,86.5363042171635
income,43086.344689378755,13.455713847736344,86.54428615226365
income,43587.34869739479,13.44763517121308,86.55236482878692
income,44088.35270541082,13.439459753266704,86.5605402467333
income,44589.35671342685,13.431187593897226,86.56881240610278
income,45090.360721442885,13.422818693104649,86.57718130689535
income,45591.36472945892,13.41435305088898,86.58564694911102
income,46092.36873747495,13.405790667250225,86.59420933274978
income,46593.37274549098,13.397131542188387,86.60286845781161
income,47094.376753507015,13.388375675703474,86.61162432429651
income,47595.38076152305,13.379523067795486,86.62047693220451
income,48096.38476953908,13.37057371846443,86.62942628153557
income,48597.38877755511,13.361527627710307,86.6384723722897
income,49098.392785571144,13.352384795533123,86.64761520446687
income,49599.39679358718,13.34314522193288,86.65685477806711
income,50100.40080160321,13.33380890690958,86.66619109309042
income,50601.404809619235,13.32437585046323,86.67562414953677
income,51102.40881763527,13.314846052593825,86.68515394740618
income,51603.4128256513,13.305219513301376,86.69478048669863
income,52104.41683366733,13.29549623258588,86.70450376741414
income,52605.420841683364,13.285676210447336,86.71432378955267
