name,x_fit,y_fit_dem,y_fit_rep
income,0.0,82.83855505605315,17.161444943946844
income,501.00400801603206,82.7681374777572,17.23186252224281
income,1002.0080160320641,82.69810205004144,17.301897949958548
income,1503.0120240480962,82.6284487729059,17.371551227094102
income,2004.0160320641282,82.55917764635048,17.440822353649516
income,2505.0200400801605,82.49028867037515,17.50971132962484
income,3006.0240480961925,82.42178184497989,17.57821815502011
income,3507.0280561122245,82.35365717016462,17.646342829835373
income,4008.0320641282565,82.28591464592932,17.714085354070676
income,4509.0360721442885,82.21855427227395,17.781445727726062
income,5010.040080160321,82.15157604919843,17.848423950801564
income,5511.0440881763525,82.08497997670277,17.91502002329724
income,6012.048096192385,82.01876605478688,17.981233945213127
income,6513.0521042084165,81.95293428345074,18.047065716549263
income,7014.056112224449,81.8874846626943,18.112515337305698
income,7515.0601202404805,81.82241719251753,18.177582807482466
income,8016.064128256513,81.75773187292039,18.242268127079615
income,8517.068136272545,81.69342870390281,18.30657129609719
income,9018.072144288577,81.62950768546477,18.370492314535223
income,9519.07615230461,81.56596881760623,18.43403118239376
income,10020.080160320642,81.50281210032715,18.49718789967284
income,10521.084168336673,81.44003753362749,18.55996246637251
income,11022.088176352705,81.37764511750719,18.62235488249281
income,11523.092184368737,81.31563485196622,18.684365148033777
income,12024.09619238477,81.25400673700456,18.74599326299545
income,12525.100200400802,81.19276077262214,18.807239227377874
income,13026.104208416833,81.13189695881893,18.868103041181083
income,13527.108216432865,81.07141529559487,18.928584704405118
income,14028.112224448898,81.01131578294998,18.98868421705002
income,14529.11623246493,80.95159842088417,19.048401579115836
income,15030.120240480961,80.89226320939741,19.10773679060259
income,15531.124248496993,80.83331014848966,19.166689851510334
income,16032.128256513026,80.7747392381609,19.2252607618391
income,16533.132264529057,80.71655047841108,19.28344952158892
income,17034.13627254509,80.65874386924015,19.341256130759852
income,17535.14028056112,80.60131941064809,19.398680589351912
income,18036.144288577154,80.54427710263485,19.455722897365153
income,18537.148296593186,80.48761694520039,19.5123830547996
income,19038.15230460922,80.4313389383447,19.568661061655302
income,19539.15631262525,80.3754430820677,19.62455691793229
income,20040.160320641284,80.31992937636939,19.680070623630606
income,20541.164328657316,80.26479782124973,19.73520217875028
income,21042.168336673345,80.21004841670864,19.78995158329135
income,21543.172344689377,80.15568116274613,19.84431883725386
income,22044.17635270541,80.10169605936215,19.89830394063783
income,22545.180360721442,80.04809310655668,19.95190689344332
income,23046.184368737475,79.99487230432966,20.005127695670343
income,23547.188376753507,79.94203365268106,20.057966347318942
income,24048.19238476954,79.88957715161084,20.110422848389156
income,24549.196392785572,79.83750280111899,20.162497198881017
income,25050.200400801605,79.78581060120544,20.21418939879456
income,25551.204408817634,79.73450055187017,20.265499448129816
income,26052.208416833666,79.68357265311316,20.31642734688683
income,26553.2124248497,79.63302690493437,20.366973095065628
income,27054.21643286573,79.58286330733375,20.417136692666244
income,27555.220440881763,79.53308186031128,20.466918139688712
income,28056.224448897796,79.48368256386694,20.51631743613307
income,28557.22845691383,79.43466541800065,20.56533458199934
income,29058.23246492986,79.38603042271242,20.613969577287573
income,29559.236472945893,79.33777757800222,20.662222421997786
income,30060.240480961922,79.28990688386997,20.710093116130018
income,30561.244488977954,79.2424183403157,20.757581659684305
income,31062.248496993987,79.19531194733933,20.804688052660676
income,31563.25250501002,79.14858770494084,20.851412295059156
income,32064.256513026052,79.1022456131202,20.897754386879786
income,32565.260521042084,79.0562856718774,20.9437143281226
income,33066.26452905811,79.01070788121238,20.98929211878762
income,33567.268537074146,78.96551224112511,21.034487758874874
income,34068.27254509018,78.92069875161559,21.079301248384414
income,34569.27655310621,78.87626741268375,21.12373258731625
income,35070.28056112224,78.83221822432958,21.167781775670424
income,35571.284569138275,78.78855118655305,21.21144881344696
income,36072.28857715431,78.74526629935411,21.25473370064589
income,36573.29258517034,78.70236356273274,21.297636437267247
income,37074.29659318637,78.65984297668895,21.34015702331106
income,37575.300601202405,78.61770454122265,21.382295458777353
income,38076.30460921844,78.57594825633385,21.424051743666162
income,38577.30861723447,78.53457412202249,21.46542587797751
income,39078.3126252505,78.49358213828857,21.506417861711434
income,39579.316633266535,78.45297230513205,21.54702769486795
income,40080.32064128257,78.41274462255289,21.5872553774471
income,40581.3246492986,78.3728990905511,21.627100909448906
income,41082.32865731463,78.3334357091266,21.666564290873396
income,41583.33266533066,78.2943544782794,21.705645521720598
income,42084.33667334669,78.25565539800947,21.744344601990537
income,42585.34068136272,78.21733846831674,21.782661531683246
income,43086.344689378755,78.17940368920125,21.820596310798752
income,43587.34869739479,78.14185106066293,21.858148939337074
income,44088.35270541082,78.10468058270175,21.89531941729825
income,44589.35671342685,78.0678922553177,21.9321077446823
income,45090.360721442885,78.03148607851075,21.96851392148925
income,45591.36472945892,77.99546205228087,22.00453794771913
income,46092.36873747495,77.95982017662804,22.040179823371954
income,46593.37274549098,77.92456045155222,22.075439548447765
income,47094.376753507015,77.88968287705342,22.110317122946583
income,47595.38076152305,77.85518745313156,22.144812546868422
income,48096.38476953908,77.82107417978666,22.178925820213323
income,48597.38877755511,77.7873430570187,22.2126569429813
income,49098.392785571144,77.75399408482761,22.246005915172386
income,49599.39679358718,77.72102726321339,22.2789727367866
income,50100.40080160321,77.68844259217603,22.311557407823965
income,50601.404809619235,77.65624007171549,22.343759928284506
income,51102.40881763527,77.62441970183175,22.37558029816825
income,51603.4128256513,77.59298148252478,22.407018517475215
income,52104.41683366733,77.56192541379457,22.43807458620543
income,52605.420841683364,77.53125149564107,22.468748504358917
