MEDN_INC,PCT_DEM,PCT_REP
101705.0,83.19070904645477,16.809290953545233
62089.0,86.95238095238095,13.047619047619047
0.0,93.5910478128179,6.408952187182096
29643.0,93.85964912280701,6.140350877192982
74672.33333333333,89.83957219251337,10.16042780748663
62742.0,88.64668483197093,11.353315168029065
48254.0,87.25099601593625,12.749003984063744
40219.0,90.9090909090909,9.090909090909092
72941.0,87.36842105263159,12.631578947368421
72266.0,86.03603603603604,13.963963963963963
40921.0,84.4994617868676,15.500538213132401
89387.0,85.75624082232012,14.243759177679882
52452.0,80.23850085178876,19.761499148211243
51250.0,77.37341772151899,22.626582278481013
108211.0,57.130124777183596,42.869875222816404
128816.0,54.70692717584369,45.293072824156305
80600.0,74.96423462088698,25.035765379113016
72047.5,78.14925373134328,21.850746268656717
71811.0,74.0,26.0
84390.0,72.19118559900683,27.80881440099317
112577.0,76.90815006468306,23.091849935316947
92386.0,69.47584789311408,30.52415210688592
50300.0,73.38308457711443,26.616915422885572
53558.0,75.35145267104029,24.6485473289597
43635.666666666664,78.62407862407862,21.375921375921376
108080.0,68.25705939629991,31.7429406037001
107946.5,81.09339407744875,18.906605922551254
80937.5,81.76691729323309,18.23308270676692
67480.0,78.9533560864619,21.046643913538112
65881.0,81.69398907103826,18.30601092896175
83558.0,81.10047846889952,18.899521531100476
77351.66666666667,73.30357142857142,26.69642857142857
60536.0,84.88888888888889,15.11111111111111
60558.0,82.28882833787466,17.71117166212534
75813.0,84.46601941747572,15.53398058252427
107872.33333333333,75.34372135655362,24.65627864344638
88820.5,67.65676567656766,32.34323432343234
94002.0,79.76470588235294,20.235294117647058
69063.25,81.04938271604938,18.950617283950617
60138.0,88.23529411764706,11.76470588235294
95060.0,73.15068493150685,26.84931506849315
103403.0,77.35470941883767,22.645290581162325
68616.33333333333,74.8854961832061,25.114503816793892
109886.0,71.78217821782178,28.217821782178216
61304.666666666664,77.99163179916317,22.00836820083682
75164.0,75.73673870333988,24.26326129666012
91161.0,74.97467071935156,25.025329280648428
81371.0,78.01418439716312,21.98581560283688
131802.5,72.7945060750132,27.205493924986797
73799.5,66.45919778699862,33.54080221300138
102228.0,74.67248908296943,25.327510917030565
77276.0,69.05444126074498,30.945558739255013
53863.0,70.46204620462046,29.53795379537954
83628.5,72.57939581719597,27.420604182804027
66593.5,66.88055281342547,33.11944718657453
67546.5,66.33879781420765,33.66120218579235
59135.0,77.19033232628398,22.80966767371601
50045.0,84.25275827482447,15.747241725175526
46895.0,78.26086956521739,21.73913043478261
80368.0,57.837181044957475,42.162818955042525
81221.0,64.99652052887961,35.00347947112039
102014.0,64.15929203539822,35.84070796460177
57027.5,78.05970149253731,21.940298507462686
65673.0,77.91519434628975,22.084805653710244
70672.33333333333,80.26447105788424,19.735528942115767
103283.27272727272,60.84228141123972,39.15771858876028
89405.08333333333,78.24631860776438,21.75368139223561
95872.11111111111,71.8539865513929,28.14601344860711
93412.54545454546,85.15660985720866,14.84339014279134
83102.83333333333,87.89794536012644,12.102054639873561
73098.33333333333,86.90132717830352,13.09867282169648
75264.0,87.95485951174574,12.04514048825426
70972.14285714286,85.5156037991859,14.484396200814112
82977.11111111111,86.55690537084399,13.443094629156011
33200.0,72.9995090819833,27.00049091801669
72467.0,88.21585903083701,11.784140969162996
50957.0,83.62790697674419,16.37209302325581
49713.5,76.91287041132242,23.087129588677577
70304.0,75.69184741959612,24.30815258040389
49923.0,75.2055660974067,24.794433902593298
62535.142857142855,76.41481481481482,23.585185185185185
79219.0,78.41168416248289,21.588315837517115
71662.33333333333,74.29633563462559,25.7036643653744
54739.0,76.08270466610784,23.91729533389215
64502.333333333336,76.46726862302484,23.532731376975168
66121.71428571429,85.42931483087598,14.570685169124022
55748.5,82.23920863309353,17.760791366906474
64238.6,78.9259560618389,21.074043938161108
93625.0,73.09616453585325,26.90383546414675
53957.46153846154,81.06392294220666,18.936077057793348
150095.66666666666,68.84478144513827,31.15521855486173
88499.75,72.83295425827647,27.167045741723527
76259.71428571429,76.4737793851718,23.526220614828212
51756.625,81.7456093666844,18.25439063331559
41028.5,79.30449533502969,20.69550466497031
41321.8,83.21600592812153,16.783994071878475
103145.0,71.55090390104662,28.44909609895338
79615.0,64.50944265315522,35.49055734684477
75309.0,67.07706338349293,32.92293661650707
48449.5,73.47072293097808,26.529277069021916
64522.666666666664,71.33804091978998,28.661959080210032
61498.71428571428,75.90245775729647,24.097542242703533
43994.0,75.46754675467547,24.532453245324533
78904.75,63.70014771048744,36.29985228951256
92440.0,65.77992744860943,34.220072551390565
57916.5,59.56607495069034,40.433925049309664
74792.66666666667,64.76624857468643,35.23375142531357
62055.5,70.55793991416309,29.442060085836907
64654.0,63.07622090369694,36.92377909630306
77689.0,51.385927505330486,48.61407249466951
52667.0,62.92335115864528,37.076648841354725
67077.66666666667,60.30927835051546,39.69072164948454
59519.0,54.926624737945495,45.073375262054505
62503.666666666664,67.79232713071444,32.20767286928555
59719.833333333336,71.23745819397993,28.762541806020064
65496.5,63.66734832992502,36.33265167007498
43611.0,71.52542372881356,28.474576271186443
37487.0,65.5323819978046,34.46761800219539
56277.0,65.95551520653655,34.04448479346346
48962.0,73.21063394683026,26.789366053169733
50076.333333333336,56.85936151855048,43.14063848144953
34028.0,54.756871035940804,45.243128964059196
38564.0,60.60606060606061,39.39393939393939
46713.0,56.74212598425197,43.25787401574803
35397.5,45.302013422818796,54.69798657718121
50852.0,49.1317671092952,50.8682328907048
35154.5,50.46632124352332,49.53367875647668
65848.0,43.365531265887135,56.634468734112865
