Race Column,PCT_RACE,PCT_DEM,PCT_REP
POP_WHT,68.02614379084967,83.31658291457286,16.683417085427134
POP_WHT,60.11660548477651,84.29024304332512,15.709756956674886
POP_WHT,62.48492159227985,81.41935483870968,18.580645161290324
POP_WHT,83.32069749810462,79.02790279027903,20.97209720972097
POP_WHT,62.5,82.85714285714286,17.142857142857142
POP_WHT,77.0909090909091,75.53191489361703,24.46808510638298
POP_WHT,72.0524017467249,80.31496062992126,19.68503937007874
POP_WHT,68.96551724137932,84.0,16.0
POP_WHT,59.957850368809275,81.90603132289237,18.09396867710763
POP_WHT,86.26865671641791,77.73972602739725,22.26027397260274
POP_WHT,83.66935483870968,75.98978288633461,24.010217113665387
POP_WHT,74.7138047138047,79.48397836038285,20.516021639617147
POP_WHT,70.33713315546932,84.62826523777629,15.37173476222371
POP_WHT,75.21773555027713,78.18659658344284,21.81340341655716
POP_WHT,84.08644400785855,76.75977653631286,23.24022346368715
POP_WHT,84.7457627118644,76.19047619047619,23.809523809523807
POP_WHT,71.77304964539007,79.84154929577466,20.158450704225352
POP_WHT,84.185303514377,82.1917808219178,17.80821917808219
POP_WHT,75.57251908396947,75.96153846153845,24.03846153846154
POP_WHT,79.06976744186046,67.3913043478261,32.608695652173914
POP_WHT,18.181818181818183,0.0,0.0
POP_WHT,85.0,64.70588235294117,35.294117647058826
POP_WHT,73.09481216457961,81.99031263760457,18.00968736239542
POP_WHT,58.48506919155134,77.86069651741293,22.139303482587064
POP_WHT,62.09939619136089,83.19070904645477,16.809290953545233
POP_WHT,60.0,0.0,100.0
POP_WHT,77.73992049971608,70.01424501424502,29.985754985754987
POP_WHT,31.04895104895105,78.51941747572816,21.480582524271842
POP_WHT,28.514588859416445,70.95435684647303,29.045643153526974
POP_WHT,23.809523809523807,100.0,0.0
POP_WHT,70.65677966101694,69.92771084337349,30.072289156626507
POP_WHT,36.93693693693694,74.69879518072288,25.301204819277107
POP_WHT,69.97885835095138,71.28060263653484,28.71939736346516
POP_WHT,17.837078651685392,81.84713375796179,18.152866242038215
POP_WHT,42.616451932606545,71.2241653418124,28.7758346581876
POP_WHT,75.1246758428087,79.56953273112524,20.430467268874764
POP_WHT,80.6403574087863,76.22377622377621,23.776223776223777
POP_WHT,78.57824427480917,75.673446948873,24.326553051126993
POP_WHT,78.59237536656892,79.81859410430839,20.181405895691608
POP_WHT,83.3916083916084,33.33333333333333,66.66666666666666
POP_WHT,76.74661105318039,68.52678571428571,31.473214285714285
POP_WHT,74.4438696326953,71.81883537023724,28.181164629762762
POP_WHT,70.10309278350515,82.26744186046511,17.732558139534884
POP_WHT,70.49861495844875,77.04918032786885,22.950819672131146
POP_WHT,32.91925465838509,79.11392405063292,20.88607594936709
POP_WHT,72.9669887278583,78.0264222162308,21.973577783769212
POP_WHT,19.060622610595303,81.6,18.4
POP_WHT,17.81609195402299,83.97976391231029,16.020236087689714
POP_WHT,22.317596566523605,83.64779874213836,16.352201257861633
POP_WHT,18.84057971014493,83.04093567251462,16.95906432748538
POP_WHT,66.29441624365482,80.76923076923077,19.230769230769234
POP_WHT,78.91304347826087,85.71428571428571,14.285714285714285
POP_WHT,79.83673469387756,85.8632676709154,14.13673232908459
POP_WHT,77.98634812286689,81.15124153498871,18.848758465011286
POP_WHT,88.84615384615384,0.0,100.0
POP_WHT,66.66666666666666,0.0,0.0
POP_WHT,71.42857142857143,70.0,30.0
POP_WHT,16.666666666666664,100.0,0.0
POP_WHT,78.08471454880295,81.93069306930693,18.06930693069307
POP_WHT,72.59498787388844,87.95336787564767,12.046632124352332
POP_WHT,67.16487622606259,88.33693304535637,11.663066954643629
POP_WHT,60.763758891800826,90.10752688172043,9.89247311827957
POP_WHT,72.26643088712055,88.24613117170227,11.753868828297716
POP_WHT,69.93377483443709,91.21951219512195,8.780487804878048
POP_WHT,65.6441717791411,93.5910478128179,6.408952187182096
POP_WHT,49.4817485353763,93.85964912280701,6.140350877192982
POP_WHT,57.906976744186046,87.36681887366818,12.633181126331811
POP_WHT,49.65937612047328,89.83957219251337,10.16042780748663
POP_WHT,72.83301024646912,89.15154073448713,10.848459265512874
POP_WHT,71.62041181736795,88.84540117416829,11.154598825831702
POP_WHT,49.9535747446611,88.64668483197093,11.353315168029065
POP_WHT,62.53753753753754,90.85580304806565,9.14419695193435
POP_WHT,25.711938663745894,95.89905362776025,4.100946372239748
POP_WHT,26.341248900615653,95.703125,4.296875
POP_WHT,76.48752399232247,87.62006403415154,12.379935965848453
POP_WHT,59.33263816475496,92.27871939736346,7.721280602636535
POP_WHT,15.14004542013626,83.70086289549377,16.29913710450623
POP_WHT,23.54368932038835,76.46370023419203,23.536299765807964
POP_WHT,25.925925925925924,67.24137931034483,32.758620689655174
POP_WHT,44.11557434813248,65.39589442815249,34.60410557184751
POP_WHT,57.247259439707676,63.03972366148531,36.96027633851468
POP_WHT,26.875,77.77777777777779,22.22222222222222
POP_WHT,23.636363636363637,94.44444444444444,5.555555555555555
POP_WHT,16.502732240437158,87.36842105263159,12.631578947368421
POP_WHT,21.85430463576159,76.49208282582217,23.50791717417783
POP_WHT,22.12051868802441,78.22410147991543,21.775898520084567
POP_WHT,17.23774380600949,85.75624082232012,14.243759177679882
POP_WHT,24.67755803955288,74.0625,25.9375
POP_WHT,15.580985915492956,82.15767634854771,17.842323651452283
POP_WHT,18.814432989690722,86.52849740932642,13.471502590673575
POP_WHT,18.74462596732588,77.37341772151899,22.626582278481013
POP_WHT,27.92425695110259,79.47454844006569,20.525451559934318
