Precinct_key,MEDN_INC,PCT_DEM,PCT_REP
0608710142,184260.66666666666,79.02790279027903,20.97209720972097
0608710281,123706.5,75.98978288633461,24.010217113665387
0608710381,134553.5,76.75977653631286,23.24022346368715
0608720041,113251.5,69.92771084337349,30.072289156626507
0608720101,136709.0,71.28060263653484,28.71939736346516
0608720383,121490.5,68.52678571428571,31.473214285714285
0608720600,68774.0,79.11392405063292,20.88607594936709
0608730010,109204.0,80.76923076923077,19.230769230769234
0608730020,109375.0,85.71428571428571,14.285714285714285
0608730030,111685.0,85.8632676709154,14.13673232908459
0608740010,58553.0,85.1063829787234,14.893617021276595
0608740262,141708.5,65.39589442815249,34.60410557184751
0608750011,111073.0,87.5,12.5
0608750144,101250.0,68.42105263157895,31.57894736842105
0608750157,135392.0,73.24766355140187,26.75233644859813
0608750204,160655.0,78.0,22.0
0608750221,136667.0,82.54397834912042,17.456021650879567
060031,96000.0,59.60264900662252,40.397350993377486
061110003000,81568.0,45.73643410852713,54.263565891472865
061110004000,91603.0,56.852791878172596,43.14720812182741
061110004100,86083.0,65.5,34.5
061110004104,91250.0,53.23741007194245,46.76258992805755
061110005000,135119.0,100.0,0.0
061110005006,101591.0,71.39423076923077,28.60576923076923
061110005008,57411.0,39.285714285714285,60.71428571428571
061110005100,106563.0,66.66666666666666,33.33333333333333
061110011000,80056.0,77.76223776223776,22.237762237762237
061110011002,91836.0,71.76470588235294,28.235294117647058
061110011030,107267.0,40.0,60.0
061110014002,170664.0,57.57575757575758,42.42424242424242
061110014200,96719.0,47.928994082840234,52.071005917159766
061110015000,98203.0,44.21052631578947,55.78947368421052
061110027106,77250.0,44.44444444444444,55.55555555555556
061110031000,66250.0,27.027027027027028,72.97297297297297
061110036004,75573.0,100.0,0.0
061110037000,93455.0,52.94117647058824,47.05882352941176
061110044010,173148.0,0.0,100.0
061110048200,72353.0,57.446808510638306,42.5531914893617
061110048208,102500.0,100.0,0.0
061110056300,138417.0,75.0,25.0
061110056304,171154.0,100.0,0.0
061110058000,63515.5,74.28571428571429,25.71428571428571
061110074200,143821.5,31.57894736842105,68.42105263157895
061110078000,72861.0,41.66666666666667,58.333333333333336
061110079000,59828.0,48.35164835164835,51.64835164835166
061110085002,209191.0,9.090909090909092,90.9090909090909
061110086000,109167.0,49.058084772370485,50.94191522762951
061110090000,117583.5,32.20338983050847,67.79661016949152
061110090002,125595.0,22.22222222222222,77.77777777777779
061110091000,63950.0,57.57575757575758,42.42424242424242
061110092148,87842.0,64.28571428571429,35.714285714285715
061110094010,107375.0,59.25925925925925,40.74074074074074
061110096000,93875.0,71.9298245614035,28.07017543859649
061110099000,201655.0,70.86330935251799,29.136690647482016
06073419690,113220.0,40.06276150627615,59.937238493723854
06073421400,81061.75,36.68044890726521,63.31955109273479
06073421720,136359.0,38.15513626834382,61.84486373165618
06073433810,225250.0,45.63380281690141,54.3661971830986
06073433820,58214.0,50.0,50.0
06073433980,156848.0,53.760445682451255,46.239554317548745
06073444680,90513.0,45.611702127659576,54.38829787234043
06073444890,86653.0,71.8266253869969,28.173374613003094
06073445940,95384.0,53.906723198061776,46.093276801938224
06073447170,83361.0,36.8561872909699,63.1438127090301
06073448020,119579.0,41.950646298472385,58.049353701527615
06073448040,126023.0,38.5945945945946,61.4054054054054
06073448320,99076.5,43.60033030553262,56.39966969446738
06073448520,100854.0,38.38304552590267,61.61695447409733
06073461620,185096.0,56.10932475884244,43.89067524115756
06073541500,50351.666666666664,39.178082191780824,60.82191780821918
06073543610,66498.2,42.77609682299546,57.223903177004544
06073545480,133794.5,34.039759939985,65.96024006001501
06073547920,106991.0,44.89795918367347,55.10204081632652
06073553180,115707.0,52.78810408921933,47.21189591078067
06073554530,107988.5,36.1997226074896,63.80027739251041
06073556200,99821.0,31.906614785992215,68.09338521400778
06073561510,124028.0,31.266846361185983,68.73315363881402
06073561570,143888.0,37.99359658484525,62.00640341515475
06073563000,108430.0,39.333976833976834,60.666023166023166
06073565400,63536.0,59.065934065934066,40.934065934065934
06073569120,96048.33333333333,28.86949924127466,71.13050075872535
06073571920,89345.0,35.02290950744559,64.97709049255441
06073999152,79808.5,46.66048237476809,53.33951762523191
06073999282,114098.5,25.0,75.0
06073999286,102372.0,34.234234234234236,65.76576576576578
06073999351,143650.5,40.298507462686565,59.70149253731343
06073999490,135989.0,50.0,50.0
06073999518,58958.0,50.0,50.0
06073999522,85982.0,0.0,0.0
06073999629,250001.0,0.0,0.0
06073999653,124600.0,65.0,35.0
06073999655,162453.0,100.0,0.0
06073999809,64221.0,50.0,50.0
0604141209,104459.5,88.58146684233641,11.418533157663592
0604141210,113374.25,89.22077922077922,10.779220779220779
0604141212,97678.0,93.81443298969072,6.185567010309279
06041621205,125349.0,91.25,8.75
06041631103,223021.0,66.66666666666666,33.33333333333333
06041641203,99500.0,59.09090909090909,40.909090909090914
06041641204,74904.0,62.5,37.5
06041641205,148059.0,50.0,50.0
06041641209,171000.0,28.57142857142857,71.42857142857143
060311102,82264.0,28.88198757763975,71.11801242236024
060311107,0.0,41.30434782608695,58.69565217391305
060311205,49399.0,65.21739130434783,34.78260869565217
060311322,81987.0,30.158730158730158,69.84126984126983
060311323,63059.0,30.0,70.0
060311328,74771.0,20.636942675159236,79.36305732484077
060311505,74360.0,16.230366492146597,83.7696335078534
060311506,72969.0,18.33810888252149,81.66189111747852
060971008,84295.0,72.72727272727273,27.27272727272727
060971045,100530.0,79.3103448275862,20.689655172413794
060971055,153500.0,70.73170731707317,29.268292682926827
